page,type,incoming,avg
Lingen (Ems),3,2378,44.6666666666666667
Lünen,6,2368,71.6232558139534884
Bückeburg,2,2366,157.7094339622641509
Wertheim,2,2366,73.6382978723404255
Tauberbischofsheim,2,2365,82.5441176470588235
Geilenkirchen,6,2364,54.8348623853211009
Altena,6,2362,108.1631205673758865
Herborn,2,2362,108.8125000000000000
Lübben (Spreewald),2,2357,152.5500000000000000
Großenhain,2,2353,36.8607594936708861
Forchheim,2,2348,76.5744680851063830
Schwandorf,2,2342,45.5090909090909091
Gelnhausen,2,2340,94.4672897196261682
Bitburg,5,2336,52.0909090909090909
Donauwörth,2,2333,81.3777777777777778
Steinfurt,6,2326,56.8461538461538462
Diepholz,2,2312,34.5208333333333333
Freudenstadt,2,2306,100.0000000000000000
Radeberg,2,2302,96.4098360655737705
Balingen,2,2299,79.2842105263157895
Nidda,2,2299,70.0796460176991150
Ibbenbüren,6,2289,76.3444444444444444
Rothenburg ob der Tauber,2,2264,28.9811320754716981
Wipperfürth,6,2243,32.3333333333333333
Bad Nauheim,3,2234,114.3928571428571429
Altenkirchen (Westerwald),2,2233,58.2857142857142857
Burghausen,2,2228,115.1063829787234043
Merzig,2,2219,69.8191489361702128
Butzbach,2,2213,71.6560509554140127
Neuburg an der Donau,2,2212,54.5909090909090909
Braunau am Inn,2,2209,124.6779661016949153
Montabaur,5,2189,72.4056603773584906
Kamenz,2,2182,57.6388888888888889
Fürstenfeldbruck,2,2162,68.2045454545454545
Kelheim,2,2155,101.4528301886792453
Bernau bei Berlin,2,2150,74.4646464646464646
Osterode am Harz,2,2148,49.7586206896551724
Heidenheim an der Brenz,2,2147,56.3246753246753247
Sinsheim,2,2141,66.3294117647058824
Spremberg,2,2138,53.1489361702127660
Erbach (Odenwald),2,2134,147.7053571428571429
Schwabach,3,2124,49.5652173913043478
Donaueschingen,2,2119,82.7833333333333333
Nürtingen,2,2111,82.4393939393939394
Dinkelsbühl,2,2110,25.9743589743589744
Melle,2,2110,47.6071428571428571
Guben,2,2106,57.6363636363636364
Langenfeld (Rheinland),6,2100,115.4301801801801802
Crailsheim,2,2089,39.8730158730158730
Winterberg,6,2082,27.8412017167381974
Beeskow,2,2069,136.3571428571428571
Weiden in der Oberpfalz,1,2066,58.7882352941176471
Schwerte,6,2065,204.9662447257383966
Prüm,2,2060,52.1625000000000000
Xanten,6,2060,49.8829787234042553
Döbeln,2,2059,64.0540540540540541
Dieburg,2,2056,88.1595744680851064
Gladbeck,6,2052,119.1423076923076923
Rottenburg am Neckar,2,2045,57.7973856209150327
Idar-Oberstein,5,2040,42.2268041237113402
Rathenow,2,2039,96.1333333333333333
Lüchow (Wendland),2,2038,63.2142857142857143
Bernburg (Saale),2,2021,74.6067415730337079
Warendorf,6,2018,83.3191489361702128
Borna,2,2004,83.5454545454545455
Elmshorn,2,1999,86.2924528301886792
Büren (Westfalen),6,1998,56.0396039603960396
Weingarten (Württemberg),1,1989,151.6869565217391304
Backnang,2,1988,90.6708860759493671
Idstein,2,1987,68.9696969696969697
Leonberg,2,1984,83.3239436619718310
Miltenberg,2,1983,69.4495412844036697
Altötting,2,1982,79.8055555555555556
Syke,2,1974,64.9729729729729730
Bad Oeynhausen,6,1963,65.7661290322580645
Aichach,2,1961,59.5376344086021505
Schwarzenberg/Erzgeb.,2,1959,91.4157303370786517
Heilbad Heiligenstadt,2,1957,83.0084745762711864
Marienberg,2,1955,66.0943396226415094
Emmerich am Rhein,6,1950,123.3333333333333333
Mindelheim,2,1948,39.6614583333333333
Oppenheim,5,1945,59.5535714285714286
Schwedt/Oder,2,1945,41.2962962962962963
Dinslaken,6,1942,90.8201058201058201
Friedberg (Bayern),2,1939,144.7103004291845494
Heppenheim (Bergstraße),2,1936,131.8097826086956522
Ahlen,6,1934,64.2888888888888889
St. Ingbert,2,1932,148.7192982456140351
Clausthal-Zellerfeld,2,1929,87.4060150375939850
Halle (Westf.),6,1926,70.5850340136054422
Sangerhausen,2,1920,58.7088607594936709
Ehingen (Donau),2,1917,68.3650793650793651
Marsberg,6,1915,43.6760563380281690
Neckarsulm,2,1912,127.1837916063675832
Bad Salzuflen,6,1904,98.8167330677290837
Staßfurt,2,1899,56.8281250000000000
Zeitz,2,1896,43.0000000000000000
Bietigheim-Bissingen,2,1895,140.1440000000000000
Sulzbach-Rosenberg,2,1889,134.3750000000000000
Eitorf,6,1886,30.4277456647398844
Kehl,2,1878,271.2478632478632479
Dessau-Roßlau,1,1875,180.6181818181818182
Burg (bei Magdeburg),2,1873,36.6491228070175439
Eschwege,2,1869,69.6638655462184874
Lahr/Schwarzwald,2,1865,54.2745098039215686
Bad Mergentheim,2,1862,75.1290322580645161
Sindelfingen,2,1861,96.0821917808219178
Korbach,2,1849,89.0114942528735632
Luckenwalde,2,1849,95.8787878787878788
Nauen,2,1845,66.7500000000000000
Schorndorf,2,1837,57.7901234567901235
Bad Laasphe,6,1832,72.3153846153846154
Fürstenwalde/Spree,2,1826,55.4375000000000000
Strausberg,2,1814,270.5762711864406780
Cloppenburg,2,1811,31.6444444444444444
Alsfeld,2,1809,37.1341463414634146
Bad Berleburg,6,1808,104.1710526315789474
Wolgast,2,1808,62.5500000000000000
