page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Cham (Oberpfalz),2,3520,58.9487179487179487,79,894
Sonneberg,2,3476,59.7380952380952381,126,861
Füssen,2,3469,74.2990654205607477,111,506
Radevormwald,6,3457,38.0411471321695761,803,2998
Husum,2,3454,75.2857142857142857,56,718
Bruchsal,2,3440,93.0000000000000000,88,787
Gummersbach,6,3341,39.9653465346534653,406,1526
Eilenburg,2,3319,49.2804878048780488,82,1120
Grimma,2,3293,38.9066666666666667,75,934
Prenzlau,2,3282,58.8400000000000000,26,351
Apolda,2,3278,48.7986111111111111,146,853
Brühl (Rheinland),6,3261,98.0089552238805970,337,988
Zweibrücken,3,3260,98.5641025641025641,158,535
Meschede,6,3246,66.3407079646017699,226,1363
Hilden,6,3194,108.3926940639269406,439,1145
Weilburg,2,3171,73.8504672897196262,125,979
Parchim,2,3168,31.9210526315789474,38,589
Königswinter,6,3165,185.2313003452243959,872,1860
Coesfeld,6,3161,71.4333333333333333,60,828
Lippstadt,6,3141,59.3855421686746988,84,626
Itzehoe,2,3124,49.8750000000000000,140,893
Neunkirchen (Saar),2,3115,64.9136363636363636,222,779
Siegburg,6,3113,101.2575000000000000,402,979
Northeim,2,3107,55.7849462365591398,93,860
Wernigerode,2,3091,29.8375000000000000,162,603
Stolberg (Rheinland),6,3086,87.3163538873994638,375,690
Weißenburg in Bayern,2,3081,56.9036144578313253,343,1604
Salzwedel,2,3073,33.6949152542372881,59,500
Villingen-Schwenningen,1,3071,45.9629629629629630,82,516
Rheine,6,3060,48.6000000000000000,75,705
Landsberg am Lech,2,3060,76.8333333333333333,85,508
Delmenhorst,3,3058,56.2200000000000000,101,515
Bad Hersfeld,3,3044,79.1595744680851064,94,724
Boppard,2,3026,124.7259259259259259,136,1115
Löbau,2,3005,48.7542372881355932,118,1044
Velbert,6,3003,46.2096774193548387,682,1503
Hürth,6,3002,444.3437967115097160,678,1554
Uelzen,2,2987,58.2873563218390805,87,681
Peine,2,2977,66.5617977528089888,90,1061
Werl,6,2975,44.5847953216374269,172,751
Deggendorf,1,2969,139.3780487804878049,82,577
Nördlingen,2,2969,49.2162162162162162,114,703
Neuruppin,2,2967,50.2448979591836735,50,557
Einbeck,2,2953,52.5447154471544715,123,1448
Schmalkalden,2,2951,65.1111111111111111,91,589
Kronach,2,2950,42.1090909090909091,124,913
Lübbecke,6,2942,71.5197740112994350,178,1315
Bocholt,6,2926,47.6666666666666667,60,782
Ludwigslust,2,2914,79.9534883720930233,43,470
Andernach,2,2911,93.5444444444444444,181,939
Büdingen,2,2902,70.0847457627118644,120,1017
Oranienburg,2,2901,122.0547945205479452,74,759
Erkelenz,6,2889,36.6797752808988764,357,1628
Weißenfels,2,2886,66.5454545454545455,77,484
Soltau,2,2860,62.0000000000000000,69,1030
Dillenburg,2,2855,100.8640776699029126,104,627
Bergheim,6,2822,57.3472803347280335,243,1513
Schneeberg (Erzgebirge),2,2822,103.5185185185185185,135,645
Riesa,2,2816,62.3857142857142857,71,617
Neumarkt in der Oberpfalz,1,2802,40.6666666666666667,82,521
Eutin,2,2799,30.9462365591397849,94,693
Tuttlingen,2,2795,69.0312500000000000,99,819
Nordhorn,3,2781,50.7413793103448276,60,1070
Gifhorn,2,2754,34.8923076923076923,65,801
Teltow,2,2728,182.4469178082191781,591,701
Holzminden,2,2716,125.8508771929824561,114,635
Hoyerswerda,1,2697,56.0000000000000000,55,436
Calw,2,2689,78.9529411764705882,87,617
Bad Tölz,2,2661,54.2093023255813953,88,335
Anklam,2,2656,60.1025641025641026,80,717
Alzey,2,2650,57.3529411764705882,120,895
Böblingen,2,2646,88.1397058823529412,137,650
Fritzlar,2,2641,92.8115942028985507,140,1112
Hildburghausen,2,2640,53.5658914728682171,133,560
Bad Reichenhall,2,2638,54.3607594936708861,160,847
Demmin,2,2624,52.5671641791044776,67,673
Neu-Ulm,1,2618,209.1945945945945946,372,1508
St. Wendel,2,2595,80.5700934579439252,107,689
Torgau,2,2590,29.5312500000000000,64,435
Lohmar,6,2561,76.3717277486910995,384,2158
Bad Dürkheim,2,2561,68.3299492385786802,198,870
Hechingen,2,2556,55.2072072072072072,112,715
Weinheim,2,2553,79.0662251655629139,152,646
Mayen,2,2546,76.6060606060606061,99,776
Ratingen,6,2542,206.8875000000000000,728,728
Grevenbroich,6,2542,49.7880184331797235,218,1046
