page_id,page,min
54806,Rinteln,1769.47115773804
16884,Nienburg/Weser,1771.51104280027
130796,Weilburg,1773.86760757684
3381169,Haiger,1776.12601684457
3454662,Weimar,1777.19829780579
90896,Witzenhausen,1782.54676663912
339933,Lauingen (Donau),1785.35836343595
61523,Metzingen,1786.09540453929
3399969,Arnstadt,1790.28507777726
50771,Bad Bergzabern,1790.66176684613
95470,Warburg,1798.19864717234
184704,Melsungen,1800.04159929435
108909,Wächtersbach,1800.41253407754
118879,Haltern am See,1806.80236178422
35944,Kirn,1813.58530586418
85376,Bad Segeberg,1814.94808477593
259050,Falkensee,1827.80999675116
3028814,Herten,1829.0883595627
801381,Schmalkalden,1834.89487938949
704534,Schmölln,1839.72551282333
294203,Bensheim,1843.04653973579
82186,Achim (Landkreis Verden),1843.25761327803
142260,Mölln,1846.67113681807
518071,Miesbach,1849.48939214379
732273,Pegnitz (Stadt),1850.03324030646
11847,Norderstedt,1850.40611721137
126539,Eltville am Rhein,1852.78366482091
63581,Kelheim,1853.25058761145
217986,Oberlungwitz,1853.25169956064
59934,Schleiz,1853.25169956064
26814,Fürstenfeldbruck,1854.2818269083
346639,Bad Kötzting,1856.38128647711
66508,Merzig,1859.42143749857
268377,Edenkoben,1860.01098620204
17345,Gotha,1860.54541052576
53359,Alfeld (Leine),1860.55551647811
192334,Bad Schlema,1868.23853227109
14071,Stadthagen,1871.97423751742
17979,Wildeshausen,1877.4955389744
59901,Herne,1879.15760527304
141777,Mechernich,1882.69583003983
62986,Dillingen an der Donau,1883.05699479376
340689,Freyung,1883.6730177213
143550,Heidenheim an der Brenz,1884.35838519523
2256637,Emsdetten,1884.80325543471
2508047,Pfaffenhofen an der Ilm,1889.28416751594
1034921,Bad Salzuflen,1891.73923694593
116543,Bergheim,1893.78550914676
2803,Kronach,1898.85434701004
285685,Nieder-Olm,1907.5694922621
72026,Bad Laasphe,1912.99343816807
297933,Waldkraiburg,1914.00280360126
272265,Eisenberg (Pfalz),1915.34037563118
85537,Gladbeck,1916.51645539501
2587334,Zeitz,1924.8421902911
125538,Schwetzingen,1930.65394535924
204748,Breisach am Rhein,1938.55198166528
21231,Hattingen,1938.614949793
70581,Schwabach,1944.55202250072
